"","x"
"1","AK"
"2","AL"
"3","AR"
"4","AZ"
"5","CA"
"6","CO"
"7","CT"
"8","DC"
"9","DE"
"10","FL"
"11","GA"
"12","GU"
"13","HI"
"14","IA"
"15","ID"
"16","IL"
"17","IN"
"18","KS"
"19","KY"
"20","LA"
"21","MA"
"22","MD"
"23","ME"
"24","MI"
"25","MN"
"26","MO"
"27","MS"
"28","MT"
"29","NC"
"30","ND"
"31","NE"
"32","NH"
"33","NJ"
"34","NM"
"35","NV"
"36","NY"
"37","OH"
"38","OK"
"39","OR"
"40","PA"
"41","PR"
"42","RI"
"43","SC"
"44","SD"
"45","TN"
"46","TX"
"47","UT"
"48","VA"
"49","VI"
"50","VT"
"51","WA"
"52","WI"
"53","WV"
"54","WY"
